출원인,권리자,상표명,출원번호,출원일자,등록번호,등록일자,니스코드
株式会社GlobalNetwork  Trading,,,2026069092,20260615,,,
COSMETICMAKERS株式会社,,,2026068851,20260615,,,
株式会社YOAKE  entertainment,,,2026067642,20260611,,,
株式会社DESIGN  WORKS  ANCIENT,,,2026063560,20260603,,,
TOKYO  WATCH  MARKET株式会社,,,2026063742,20260603,,,
KOYASU  Resort  International株式会社,,,2026062866,20260602,,,
株式会社GlobalNetwork  Trading,,,2026062940,20260602,,,
株式会社SANKO  MARKETING  FOODS,,,2026062548,20260602,,,
KOYASU  Resort  International株式会社,,,2026062865,20260602,,,
HAKUSOH  FRONTIER株式会社,,,2026062814,20260602,,,
株式会社Freedom  Freaks,,,2026061478,20260529,,,
株式会社Another  works,,,2026059733,20260526,,,
株式会社Another  works,,,2026059720,20260526,,,
株式会社Another  works,,,2026059714,20260526,,,
一般社団法人Japan  Innovation  Network,,,2026058877,20260525,,,
SEIKAWORKS株式会社,,,2026058596,20260522,,,
SEIKAWORKS株式会社,,,2026058594,20260522,,,
SEIKAWORKS株式会社,,,2026058595,20260522,,,
Tekoma  Energy株式会社,,,2026057607,20260521,,,
株式会社Marketing  Sub  Domain,,,2026057266,20260520,,,
一般社団法人Artist  Link  Associate,,,2026063153,20260520,,,
株式会社Dealers  Stock,,,2026056348,20260519,,,
一般社団法人Artist  Link  Associate,,,2026061013,20260516,,,
Foot  Locker  atmos  Japan合同会社,,,2026054573,20260514,,,
株式会社Akiba  Code  Graphics,,,2026053825,20260513,,,
合同会社Miyako  Tourism  Design,,,2026058526,20260512,,,
株式会社Kyoreisha,,,2026052860,20260511,,,
Shamrock  Records株式会社,,,2026051409,20260507,,,
株式会社Little  Flower  Fukuoka,,,2026046773,20260423,,,
株式会社ARCHIVESTOCK,,,2026046514,20260422,,,
KOSHINO  KIRAMEKI株式会社,,,2026045614,20260421,,,
株式会社POKER  FACE,,,2026044111,20260417,,,
一般社団法人Ponte  Roda  Nagasaki,,,2026043808,20260416,,,
株式会社K2creation,,,2026043817,20260416,,,
株式会社Kansai  Collection  ENTERTAINMENT,,,2026041062,20260410,,,
Karen  Production合同会社,,,2026045076,20260408,,,
NYAMSUREN  BATORSHIKH(ニャムスレン  バトオルシフ),,,2026040651,20260327,,,
,グラン・マネジメント株式会社,SINCE1972、KOREANRESTAURANT,2026019039,20260220,7049492,20260528,
,株式会社Washoku  International,DANIELHOUSE,2026013214,20260206,7042820,20260508,
,FILSTON  GLOBAL  DESIGN  WORKS株式会社,エリ-トスリ-,2026007287,20260123,7052312,20260605,
,株式会社VITEI  BACKROOM,WILDBLUESKIES,2025133312,20251119,7050288,20260601,
,KOSHINO  KIRAMEKI株式会社,AELUWA,2025128296,20251107,7046759,20260520,
,KOSHINO  KIRAMEKI株式会社,アエルン,2025128295,20251107,7047723,20260522,
,KIKUTORA  SPECIAL  RISKS株式会社,KIKUTORA、SPECIALRISKS,2025117841,20251014,7055127,20260615,
,Foot  Locker  atmos  Japan合同会社,TENKYU,2025116815,20251009,7045152,20260515,
,合同会社KOKESHI  Arts,らくらくLIFEサポ-ト,2025121836,20251008,7047329,20260522,
,KOYASU  Resort  International株式会社,PAWCATIONVILLA,2025116035,20251008,7039695,20260424,
,株式会社GATEWING  MARKETING  ASSOCIATES,飲食店専用社内報システム、MAKANAI,2025112872,20250930,7047123,20260521,
,株式会社アールディーシー,KOREANBISTRO、KENARY,2025110175,20250925,7043745,20260512,
,株式会社Defrag  Works,現場365,2025109942,20250924,7045590,20260518,
,KOYASU  Resort  International株式会社,整道家,2025108845,20250922,7039657,20260424,
,株式会社SakimotoBakery,SAKIMOTOBAKERYANDMORE,2025113349,20250917,7050771,20260603,
,株式会社SakimotoBakery,ANDMORE,2025113350,20250917,7050772,20260603,
,株式会社AWESOME  WORKS,NEXTACHIEVERS,2025105997,20250916,7038579,20260422,
,株式会社KIDS-COASTER,静心,2025103829,20250909,7038311,20260421,
,株式会社SORA  IE  TOKYO,★ROOMLAB★ROOMLAB,2025102355,20250905,7046393,20260520,
,呉政錫,輪郭の定石美容整形外科、KOREANCONTOURINGSTANDARD,2025101471,20250904,7044188,20260513,
,株式会社SANKO  MARKETING  FOODS,FIIIIIMO、FISH!MORE!,2025098542,20250828,7033896,20260407,
,株式会社BACKSTAGE  PRODUCTS,JOSEPHYOOBALLETCORE,2025098165,20250827,7049232,20260528,
,株式会社HataLuck  and  Person,はたLUCKAI,2025096106,20250822,7036920,20260416,
,一般社団法人Japan  Innovation  Network,組織の状況、リ-ダ-シップ計画、仮説に基づき試行錯誤を行うイノベ-ション活動プロセス、意図、価値、コンセプトの創造、ソリュ-ションの開発、機会の特定、コンセプトの検証、ソリュ-ションの導入、支援体制、評価改善,2025095834,20250821,7036468,20260415,
,一般社団法人Japan  Innovation  Network,CONTEXTOFTHEORGANIZATION、LEADERSHIPPLANNING、INNOVATIONPROCESSESTHATVALIDATEHYPOTHESESVIATRIALANDERROR、INTENT、REALIZATIONOFVALUE、CREATECONCEPTS、DEVELOPSOLUTIONS、IDENTIFYOPPORTUNITIES、VALIDATECONCEPTS、DEPLOYSOLUTIONS、SUPPORT、PERFORMANCEE,2025095835,20250821,7036469,20260415,
,株式会社SANKO  MARKETING  FOODS,デイゼロ、DAY‐0,2025094863,20250820,7033887,20260407,
,株式会社PARK  CREATION,PARKCREATION,2025094307,20250819,7042010,20260507,
,合同会社ensowa  creative  works,ORTHOLABO,2025098932,20250816,7056356,20260618,
,合同会社Skyrocket  Technology  Bank,W2G,2025092115,20250812,7056012,20260617,
,株式会社YOAKE  entertainment,,2025089762,20250806,7056449,20260618,
,House  Product  Market株式会社,PICNICMOTELHOUSE,2025089478,20250805,7052781,20260609,
,Core-Link  Global株式会社,和の葉,2025090964,20250727,7046821,20260521,
,合同会社Skyrocket  Technology  Bank,NEXTEIN,2025084425,20250724,7048306,20260526,
Volta  Networks株式会社,,,2026004479,,,,
KOYASU  Resort  International株式会社,,,2025116034,,,,
株式会社NiceHirosaki,,,2025097540,,,,
"Shenzhen  Amos  Food  Marketing  Co.,  Ltd.",,,,,,,
